,OverallAccuracy,Frequency_Weighted_Intersection_over_Union,MeanIntersectionOverUnion,MatthewsCorrelationCoefficient
0,0.7822074890136719,0.6406575365452155,0.3580055100707119,0.67763877
1,0.7549781799316406,0.6168024178552557,0.43496342774227187,0.69891745
2,0.8507003784179688,0.7416138737233491,0.6180237550422166,0.7824211
3,0.9276008605957031,0.8808823736193705,0.42188102757568174,0.86090225
4,0.5660667419433594,0.40890354641399856,0.325059370052391,0.46843296
5,0.5875701904296875,0.4261165730824056,0.3035425940079776,0.44276214
6,0.6221389770507812,0.45118165500765894,0.2743750499223667,0.4593571
7,0.777191162109375,0.6688529577502484,0.5047015258786045,0.71477824
8,0.7898941040039062,0.7031702246509032,0.44811783407986505,0.74108374
9,0.7859725952148438,0.732134198503359,0.3899587752744762,0.73047584
10,0.8387031555175781,0.7257825281875028,0.2907966252161857,0.7359535
11,0.8391799926757812,0.7215960738715048,0.34011252998255725,0.7329424
12,0.8128509521484375,0.685602744186955,0.31353322358500196,0.7115535
13,0.8056373596191406,0.6881415303519332,0.32867575907552493,0.70806223
14,0.9392509460449219,0.8966434483964283,0.4257369275069087,0.89081806
15,0.8006134033203125,0.6754426878592852,0.3316427745668732,0.6833381
16,0.9025459289550781,0.8490338424106136,0.5238921807511175,0.8385894
17,0.7895011901855469,0.7140866132567474,0.42296054373520037,0.7131818
18,0.7447738647460938,0.6522487944537008,0.3529783350944005,0.68387675
19,0.7115287780761719,0.5989123833673938,0.3678530209030013,0.6425562
20,0.8451728820800781,0.7656560701334304,0.43931786057349154,0.78862685
21,0.8537521362304688,0.7866654025430394,0.39448539859146686,0.80354667
22,0.8872146606445312,0.8223314428051297,0.5014878988132271,0.8470166
23,0.7664108276367188,0.7075788147323991,0.29728833117843234,0.70396227
24,0.8287925720214844,0.764496458117733,0.5320497492862127,0.77808636
25,0.9264450073242188,0.8833212929936606,0.4136236078849867,0.8691045
26,0.8546791076660156,0.7876443969938347,0.4569109972794843,0.79538435
27,0.9959640502929688,0.9919976280140709,0.6425140552266589,0.96276516
28,0.7468833923339844,0.72374806581906,0.2294969396465729,0.6593435
29,0.9299736022949219,0.8916424135515972,0.3600572505491826,0.8739046
30,0.8424415588378906,0.7889732923014967,0.3303042091199675,0.7503831
31,0.5084381103515625,0.38555842766322757,0.226970096680706,0.43444765
32,0.9953575134277344,0.9907525998485429,0.9577990245949801,0.9569212
33,0.78985595703125,0.667218387583983,0.38597974522969175,0.695485
34,0.9017181396484375,0.875175405997656,0.32718234949559294,0.8240834
35,0.7892189025878906,0.6847485289559587,0.2715263397646104,0.69806635
36,0.9349212646484375,0.8816210779353368,0.32429333040879965,0.8420085
37,0.8858871459960938,0.7971533074023103,0.3121121949616322,0.82890207
38,0.8837966918945312,0.7902644786896849,0.4090206573062713,0.8074859
39,0.4820289611816406,0.42944221083509343,0.25596553700245855,0.48225003
40,0.8766250610351562,0.7857952718549002,0.27943725640839745,0.73955345
41,0.9119911193847656,0.8431265081783188,0.6718301545041574,0.77494574
42,0.8538055419921875,0.7414593658662979,0.3004357729758164,0.73750573
43,0.9560585021972656,0.9249005048957535,0.3677816323811317,0.5798825
44,0.9363594055175781,0.8962903550297875,0.46886518512810244,0.7342084
45,0.821746826171875,0.705833788653043,0.31587372589929635,0.71399903
46,0.8712654113769531,0.7782508471997129,0.3277216364121341,0.8149494
47,0.8969917297363281,0.8109142796430967,0.27620863882510865,0.78424716
48,0.8836441040039062,0.8186910702108646,0.16073566226873054,0.32159775
49,0.7418212890625,0.5879996683208241,0.47564795774611496,0.6425133
50,0.9838180541992188,0.9679320065348586,0.8596315552050315,0.85047966
51,0.9455223083496094,0.9363861174698079,0.22669531880883842,0.5512162
52,0.9245491027832031,0.862764898162723,0.5109181143539314,0.8150625
53,0.9495201110839844,0.911319828457698,0.43010492472112155,0.89724904
