,F1Score_class0,Recall_class0,Precision_class0,F1Score_class1,Recall_class1,Precision_class1,F1Score_class2,Recall_class2,Precision_class2,F1Score_class3,Recall_class3,Precision_class3,F1Score_class4,Recall_class4,Precision_class4,F1Score_class5,Recall_class5,Precision_class5,F1Score_class6,Recall_class6,Precision_class6
265,0.9475888512018876,0.9408732831305568,0.9544009743635445,0.9901423266895635,0.9899974924029701,0.9902872033555831,0.7710546714696092,0.7279380111297513,0.8196006203955021,,0.0,,,0.0,,,0.0,,0.291632597437994,0.6797966954513384,0.1856349757113116
266,0.9572404851300612,0.9312311128384908,0.9847444910662183,0.991688455730199,0.9934892903831883,0.9898941377764359,0.696979922389067,0.7209424082511444,0.6745591116917048,,0.0,,,0.0,,,0.0,,0.13393756294058407,0.24675324629544854,0.09191430545957152
267,0.9459990116069401,0.9283785554875245,0.9643012743709836,0.9940404078057146,0.9966968790833644,0.9913980593352666,0.841164791528789,0.996862744316186,0.7275329135661134,,0.0,,,0.0,,,0.0,,0.8405054445932569,0.8310686318711344,0.8501590293320768
268,0.9256966819286643,0.9073607224725777,0.9447889924135345,0.9916385679284058,0.9959945775602065,0.987320494631812,0.9162601626016261,0.9964633065878727,0.8480060195635817,,0.0,,,0.0,,,0.0,,0.8111751277312751,0.7606523954372424,0.8688868188169538
269,0.9107835531419706,0.8836186540471187,0.9396716783326533,0.9874626951953579,0.9909930816376299,0.9839573732718894,0.9404599226955062,0.9802229998388359,0.9037970883986193,,0.0,,,0.0,,,0.0,,0.8434317862165963,0.8204903676860233,0.8676930200254659
270,0.9375751653638004,0.9489520331336699,0.9264678575407583,0.9922754150754716,0.9913087022003841,0.9932440152407068,0.9542704375967356,0.970759038075791,0.9383326086097166,,0.0,,,0.0,,,0.0,,0.8346430910281599,0.7877820128991674,0.8874318208193107
271,0.8968808590420999,0.8711920526916583,0.9241306638566913,0.9926327478047801,0.9930640671908526,0.9922018029235048,,0.0,,,0.0,,,0.0,,,0.0,,0.9013359722909452,0.9001779007115913,0.9024970273483948
272,,0.0,,0.9939274591078725,0.9977634819277706,0.9901208194275312,,0.0,,,0.0,,,0.0,,,0.0,,0.9555287641318442,0.936630395962512,0.9752054603705251
273,0.9563484153876819,0.9567934058818408,0.9559038384911674,0.9941925725701665,0.9962280099753401,0.9921654355854878,,0.0,,,0.0,,,0.0,,,0.0,,0.9553992673992674,0.942855490299232,0.9682813103263936
274,0.9644858791043552,0.9586934071982883,0.9703487732423809,0.9912829297464953,0.9903042392954735,0.9922635565318412,0.9077826387289891,0.9787735847841641,0.8463933018462859,,0.0,,,0.0,,,0.0,,0.9507733354466326,0.9426925091424124,0.9589938983773414
