,OverallAccuracy,Frequency_Weighted_Intersection_over_Union,MeanIntersectionOverUnion,MatthewsCorrelationCoefficient
0,0.9678726196289062,0.9385653662696135,0.3465756120927526,0.9326966
1,0.9804153442382812,0.9621663934007251,0.5485851354334881,0.9401381
2,0.9792060852050781,0.9608251252834481,0.7241770633955493,0.926193
3,0.9419822692871094,0.8979559737174911,0.5505086807184332,0.9151894
4,0.9514999389648438,0.917221189392676,0.49373058635507666,0.9270873
5,0.965240478515625,0.9413800825942108,0.5468899430072319,0.9472326
6,0.9287605285644531,0.871464973299491,0.5681305727225738,0.89655584
7,0.9656829833984375,0.9381697691125035,0.5472903410596529,0.94514865
8,0.964111328125,0.9347705924923179,0.5692045311610011,0.9435304
9,0.9643287658691406,0.9350237666483528,0.6017025206157192,0.9458291
10,0.9489173889160156,0.9102179880504201,0.573748748673272,0.9237282
11,0.9313316345214844,0.8808160307124088,0.5596389499425932,0.9025072
12,0.9614448547363281,0.929013224294825,0.5258027990296923,0.9267722
13,0.966522216796875,0.937157586287251,0.543591096851192,0.94117945
14,0.9645843505859375,0.9347138667295304,0.5609471970870407,0.93894064
15,0.9485893249511719,0.9100364619501488,0.5349916739483973,0.91669
16,0.9598197937011719,0.9268048082752991,0.5584440545563761,0.93536645
17,0.9320487976074219,0.8779276405246879,0.5767286652430798,0.90385795
18,0.9413681030273438,0.8941302777840046,0.5471480226864583,0.9096558
19,0.9511222839355469,0.9111061211996164,0.549929511645853,0.9195632
20,0.9637947082519531,0.9320062188026113,0.5006257523805677,0.93737674
21,0.9711265563964844,0.9451756695641387,0.5127732275082726,0.9490567
22,0.9702110290527344,0.9436159690035286,0.5006006945370548,0.94777656
23,0.9681053161621094,0.939914153578348,0.48963734874682935,0.94615173
24,0.9634132385253906,0.9306218352254446,0.5109402542559128,0.94266397
25,0.9575271606445312,0.9208801227800336,0.5084159387538328,0.93600076
26,0.9581527709960938,0.9209242899629521,0.5103302871021628,0.93596697
27,0.9535102844238281,0.9143047014166548,0.6066772468779688,0.9329698
28,0.9567375183105469,0.9190715176880861,0.5103127502910247,0.9365002
29,0.9308624267578125,0.8776968456544773,0.47418032638423596,0.8994388
30,0.9491233825683594,0.9058183287874717,0.5017610433453503,0.92354405
31,0.9451675415039062,0.8998991206330293,0.49832805955035947,0.9173748
32,0.9549179077148438,0.9158861987524192,0.5028734139420084,0.93071324
33,0.9514656066894531,0.9101798620533785,0.48339838947747055,0.9267315
34,0.9452705383300781,0.9017203465547442,0.47654234480424557,0.91418606
35,0.9431724548339844,0.8990381881929331,0.4758808914881632,0.9092891
36,0.9401397705078125,0.8947741153707646,0.6924934985179891,0.9149547
37,0.9397239685058594,0.8914003593055171,0.4847099449065041,0.9058347
38,0.9399070739746094,0.8924394437956737,0.4850387805528728,0.90729433
39,0.9495620727539062,0.9072940338355466,0.5046537796354413,0.92513186
40,0.9530067443847656,0.9122780303861239,0.5056518322446631,0.9313477
41,0.9593009948730469,0.9233784821064444,0.5111544235869904,0.9390287
42,0.9677886962890625,0.9383433329290967,0.5244077384021255,0.95298064
43,0.9543380737304688,0.9174546999305995,0.49296188189730955,0.9297864
44,0.9542160034179688,0.9177330876687531,0.49201602517001675,0.930368
45,0.946990966796875,0.9058764452953423,0.7263875757724116,0.927075
46,0.9506874084472656,0.9112240791936328,0.4987393064497689,0.92673945
47,0.9521102905273438,0.912018999647071,0.515420458548835,0.9303254
48,0.9508819580078125,0.9091317010360778,0.627052244089516,0.9305473
49,0.9375152587890625,0.8889137740390827,0.728731794402225,0.91617733
50,0.9388809204101562,0.8899389692561497,0.6949000712138715,0.9194932
51,0.965576171875,0.9342839563083879,0.5185448449204687,0.9476716
52,0.9688034057617188,0.941118050731765,0.5230659620966687,0.95158046
53,0.9474716186523438,0.9053797561922123,0.734733744899387,0.9302499
54,0.9538345336914062,0.915375349618731,0.6240514398127962,0.93355715
55,0.9449310302734375,0.9024774820973992,0.6536401090077055,0.9221797
56,0.9446029663085938,0.9031068859592569,0.6684075616174721,0.92111117
57,0.9321479797363281,0.8783730869282704,0.5462081659344843,0.90077734
58,0.9499053955078125,0.9096082216821053,0.5384280625200174,0.9257542
59,0.9450416564941406,0.8979998862010733,0.6015942591615556,0.92175764
60,0.923919677734375,0.8620338857424963,0.5869517255335494,0.89747775
61,0.9285507202148438,0.8718023500159934,0.5633729450899843,0.90134275
62,0.9355697631835938,0.8844017945211506,0.7086572494074824,0.91623163
63,0.9382133483886719,0.8895389858631713,0.6527425617181846,0.91401726
64,0.9646377563476562,0.9348268271559057,0.611009573311292,0.9502227
65,0.9680824279785156,0.9396190249488522,0.5175933209376602,0.9533479
66,0.9804763793945312,0.9617381357209642,0.4111124212921141,0.9692151
67,0.9876022338867188,0.9754931812764296,0.41889310885836284,0.98106104
68,0.98443603515625,0.96931437753424,0.4166965798767319,0.97659
69,0.9338569641113281,0.8812044754228258,0.6665554521592902,0.91185635
70,0.9811592102050781,0.9630908873558455,0.4139789420520787,0.971812
71,0.9537620544433594,0.9134919377127797,0.5180471945449845,0.934351
72,0.9626197814941406,0.9288175042814487,0.4740307023969842,0.9355698
73,0.9796028137207031,0.9601985501796135,0.40026039427912175,0.96211255
74,0.9743995666503906,0.9506959121666649,0.3793492894393486,0.9520602
75,0.9650039672851562,0.9340843981603167,0.38543799548822916,0.9379241
76,0.941741943359375,0.8927354303415834,0.37238066361513067,0.8990781
77,0.9573822021484375,0.9213179453812103,0.7125364102497836,0.94156003
78,0.9605751037597656,0.9288865321636781,0.3244157039072127,0.8962898
79,0.9677696228027344,0.9393971727641308,0.25983733519783464,0.89054936
80,0.9605827331542969,0.9275400761088863,0.47658248320767577,0.928567
81,0.9699211120605469,0.9427400263656613,0.5070051449453205,0.94701827
82,0.9562339782714844,0.9217712280680691,0.4659240410538416,0.9215928
83,0.9740371704101562,0.9514722412202625,0.4568509666057235,0.93098855
84,0.9780540466308594,0.9594181558041175,0.3859153662581848,0.93489635
85,0.9645614624023438,0.9340501926293721,0.47369979553538777,0.91403437
86,0.9515190124511719,0.9110935789981293,0.7060207262461997,0.93430525
87,0.9745330810546875,0.9527408616679124,0.5112901304703695,0.9496531
88,0.9637794494628906,0.9321506091980863,0.499203047244047,0.9353253
89,0.9527626037597656,0.9149597683400843,0.5832331043444603,0.92630494
90,0.9260292053222656,0.8725824037136533,0.3422652178742256,0.82974625
91,0.923828125,0.8717751176236669,0.3249647860515095,0.80073905
92,0.9182891845703125,0.8526258567622865,0.5655976250358179,0.8680814
93,0.9422607421875,0.892248995831414,0.6087264136091256,0.9156669
94,0.9555397033691406,0.9155971496376412,0.5000662197494076,0.93149054
95,0.95037841796875,0.9107016518162668,0.670716585693783,0.9311992
96,0.9687118530273438,0.9404520165750033,0.5035093578551919,0.9481435
97,0.9713973999023438,0.9451289077431714,0.5034926993690135,0.9526564
98,0.9780426025390625,0.9569314223686071,0.4115834374077065,0.96592283
99,0.9689369201660156,0.9415582939022307,0.40536863510370297,0.953475
100,0.9635047912597656,0.9301471340675689,0.5065756699500286,0.94055766
101,0.9467849731445312,0.9030013596099963,0.4833087887341696,0.92188156
102,0.9524269104003906,0.9140932375413813,0.6572927931572803,0.93334126
103,0.9330368041992188,0.8797825631529447,0.49216549494882517,0.9065385
104,0.9394340515136719,0.8890264347842619,0.49305732153813314,0.9098144
105,0.9380645751953125,0.8884228244096778,0.4537590945693789,0.89554375
106,0.9325408935546875,0.8798073435268141,0.35365979429043704,0.8735336
107,0.959503173828125,0.9233261269866964,0.3711412572423836,0.91751426
108,0.9989395141601562,0.9978987301191117,0.9748394727168181,0.974242
109,0.9982070922851562,0.9964316516783137,0.9880976458536084,0.98797935
110,0.9470558166503906,0.9038601328857125,0.6038454942169722,0.9222479
111,0.9880561828613281,0.9769991577259235,0.33920413173843095,0.9359405
112,0.9758491516113281,0.9550770913844202,0.48197736790325635,0.9347019
113,0.9737586975097656,0.9506127941457427,0.474748492253953,0.9433014
114,0.9612197875976562,0.9265314786163411,0.499594035615579,0.9336878
115,0.956390380859375,0.9182598221048661,0.5033294570129014,0.9302929
116,0.9256019592285156,0.8614265343005005,0.4702360594182475,0.8903582
