,OverallAccuracy,Frequency_Weighted_Intersection_over_Union,MeanIntersectionOverUnion,MatthewsCorrelationCoefficient
0,0.8429145812988281,0.7251523076742139,0.3033575463721575,0.6709483
1,0.6698722839355469,0.5015792083745021,0.314672643460808,0.58444494
2,0.6671485900878906,0.5393192304054133,0.45923972446348077,0.6146692
3,0.8901596069335938,0.836389038056084,0.394825043173764,0.7851268
4,0.8613052368164062,0.7571281080420026,0.34431473197110957,0.7730358
5,0.826446533203125,0.6945855703755315,0.2985544755604628,0.7081669
6,0.7991409301757812,0.6693401174312117,0.31526835947872145,0.6994779
7,0.702880859375,0.5213350466326264,0.23441149557591212,0.5681376
8,0.9336891174316406,0.8951370026925487,0.44534340056885857,0.8739581
9,0.7628593444824219,0.627804773537908,0.4062990161079896,0.6804598
10,0.5864677429199219,0.4929652215642498,0.3409958075025619,0.52160585
11,0.7623291015625,0.6630221261741545,0.400870549586765,0.7102716
12,0.8441390991210938,0.7738576223649467,0.5787468052591903,0.78360337
13,0.8268089294433594,0.7503350812964377,0.5568880137057646,0.75589776
14,0.9327316284179688,0.8866616595279141,0.3502543105423863,0.8561517
15,0.8489952087402344,0.7825925851465274,0.34585502340891133,0.7780991
16,0.8181571960449219,0.7243638704941371,0.2740672235388394,0.6737696
17,0.9902687072753906,0.9836268804207472,0.5273764366961196,0.9418571
18,0.99310302734375,0.9866828763244335,0.5416130874327576,0.9720956
19,0.9200019836425781,0.8499681699351657,0.32859485793859816,0.85006094
20,0.8784294128417969,0.7787495550757542,0.3077028904056802,0.7551639
21,0.8580093383789062,0.7494757289713199,0.36229690229727246,0.7706225
22,0.7887191772460938,0.7061581752277333,0.3223288777422353,0.714935
23,0.83544921875,0.7473186146330166,0.3489256515956728,0.76505256
24,0.7571258544921875,0.7160102287020782,0.23311956407667142,0.6556685
25,0.91802978515625,0.8590411422507915,0.3488279266771859,0.85591745
26,0.9988479614257812,0.9977073891962295,0.9870012997681443,0.9868511
27,0.7433090209960938,0.6555348922325346,0.3133269448281934,0.5799675
28,0.7563247680664062,0.5907399242411334,0.31009991788303476,0.6209229
29,0.9270362854003906,0.901411852961952,0.36569572115257437,0.8659488
30,0.8748588562011719,0.79104926837381,0.4084004791695739,0.7648553
31,0.8316764831542969,0.720680146268258,0.41331685497772747,0.72653574
32,0.9970550537109375,0.994305043093621,0.9565993755589435,0.95507914
33,0.5799980163574219,0.4393364638660219,0.2938299927979256,0.5198896
34,0.703521728515625,0.6083345263643666,0.3001749844356105,0.6224039
35,0.7517814636230469,0.6222572099892596,0.396189892656325,0.6846665
36,0.84490966796875,0.7432321167044158,0.3636264878012495,0.7579247
37,0.6491661071777344,0.6313619813149927,0.21594672716712823,0.52026486
38,0.9060897827148438,0.8973502933455316,0.1959809914370659,0.2996927
39,0.9976539611816406,0.9953418797237394,0.6546775713454038,0.9734577
40,0.8698272705078125,0.7711854155591404,0.364679739901171,0.68310505
41,0.7650566101074219,0.6756604234043356,0.2727096275036684,0.611966
42,0.9519538879394531,0.9121986355485052,0.6152837827074206,0.868045
43,0.9521484375,0.9297281703529494,0.3659150935871681,0.21813767
44,0.8242034912109375,0.7026846849579138,0.3212346249202155,0.73355794
45,0.9184074401855469,0.8474541952329765,0.23013021333499442,0.67876047
46,0.8124351501464844,0.6687604550375928,0.21045469859233937,0.5859242
47,0.7832221984863281,0.7483421933505929,0.2444157833889864,0.54233384
48,0.8482627868652344,0.7489643622110873,0.22617719124823693,0.4756831
49,0.9987373352050781,0.9974961596102679,0.7090172142905707,0.6403183
50,0.8657722473144531,0.8155284225278878,0.2451698294428776,0.78660715
51,0.8214492797851562,0.680249124651439,0.24345614122345718,0.50624704
52,0.9670906066894531,0.9426352166978342,0.31866903194534524,0.9336982
53,0.9343032836914062,0.8957928028276164,0.5336951489099597,0.8715542
54,0.9091606140136719,0.8424401336795586,0.3871745053785595,0.6919536
55,0.94873046875,0.9028750296828443,0.6664302452759516,0.903861
56,0.8595390319824219,0.7822022121045693,0.2769945580489268,0.767483
57,0.750732421875,0.6878107931885747,0.29067287870528113,0.5781593
58,0.7707176208496094,0.7612207050092151,0.24965412730266565,0.63629556
59,0.8768348693847656,0.8051707036520939,0.46238346727242924,0.82066447
60,0.9608840942382812,0.92352684946515,0.36666488948072024,0.8397082
61,0.9042472839355469,0.8249824877845842,0.3068628157555384,0.79285586
62,0.8908195495605469,0.8002102033489324,0.3150754827574904,0.78768325
63,0.735687255859375,0.5854293700790708,0.3829006462781214,0.66239023
64,0.8411026000976562,0.709800315535844,0.40237007175083,0.18352012
65,0.8944587707519531,0.8537194449264254,0.39059134514322674,0.7677172
66,0.9671287536621094,0.9429595191966735,0.511279651494385,0.8804851
67,0.7134819030761719,0.6071085051386147,0.26383937756258924,0.65488434
68,0.6878204345703125,0.5174146904234345,0.31885574661590027,0.58364236
69,0.80096435546875,0.7762410037434107,0.28007933231493864,0.7024216
70,0.8479461669921875,0.763066466106585,0.3769123407844099,0.71943444
71,0.8096771240234375,0.7415885565901534,0.2989150014000039,0.4143905
72,0.8875694274902344,0.8021743936933707,0.40362436501102505,0.8185265
73,0.9018211364746094,0.8190297992351203,0.32960633122216104,0.81462836
74,0.8401412963867188,0.7827909425715183,0.24553022545602754,0.5174935
75,0.7351913452148438,0.5944611536468943,0.3272799167856631,0.6625062
76,0.9379920959472656,0.8804990904999846,0.37631833109480367,0.72812676
77,0.7809257507324219,0.6598179476509274,0.30776876321863816,0.6921555
78,0.7377777099609375,0.6116647148701926,0.2893771802416145,0.61295587
79,0.545013427734375,0.3533853936920335,0.21809126286939648,0.38147807
80,0.8419456481933594,0.8025113277283613,0.3688865855927615,0.7728868
81,0.9283790588378906,0.8724610199659114,0.41068404613841497,0.86424094
82,0.8439712524414062,0.7512237060054909,0.39221008422791787,0.7849587
83,0.8287620544433594,0.7050469034883475,0.589293269781712,0.73227966
84,0.7863540649414062,0.6668240895137486,0.3344591159063208,0.6194404
85,0.7369308471679688,0.5770891828685684,0.26454043957675705,0.5692735
86,0.6065483093261719,0.41705645938911734,0.21868106552924022,0.41596997
87,0.6740226745605469,0.5012652911043939,0.3144009915023645,0.576488
88,0.7645187377929688,0.6215121328691472,0.27079743360161784,0.6867325
89,0.7209281921386719,0.6202165431746949,0.30703606762145513,0.65522987
90,0.7659149169921875,0.6997650803906937,0.2866123480969577,0.62214714
91,0.9512481689453125,0.9139091156167407,0.3909243728571304,0.91991115
92,0.8949050903320312,0.8126635845001237,0.4842874276233152,0.7494957
93,0.9473037719726562,0.8993233044055,0.23514384984764494,0.88709795
94,0.7898406982421875,0.692892497133476,0.29961947623074553,0.64278024
95,0.7987098693847656,0.6695795463423326,0.28274171648438334,0.7251324
96,0.8189582824707031,0.6992030851847553,0.33269194771106975,0.65451175
97,0.7726364135742188,0.6021318666662698,0.1916080270073973,0.4258176
98,0.93670654296875,0.8836324641812845,0.8923572262243357,0.8866402
99,0.8437767028808594,0.7419130763556934,0.4771740154954007,0.76278424
100,0.938140869140625,0.8942494234514949,0.2717675976324431,0.8577143
101,0.8465576171875,0.7393627990231446,0.4507367345326882,0.7556383
102,0.9623641967773438,0.9438098974782939,0.46813025382274165,0.94230884
103,0.7815628051757812,0.7764333585795218,0.19850885167462134,0.22040398
104,0.7370338439941406,0.6285741575509919,0.29773778753242297,0.6111716
105,0.9115982055664062,0.8397902415019454,0.32616066032775715,0.86090636
106,0.9996376037597656,0.9992753388505662,0.4998188018798828,0.0
107,0.8206443786621094,0.6906337917182077,0.25433344906416044,0.59188473
108,0.808746337890625,0.6738648205392584,0.29320390357163056,0.6354784
109,0.6959915161132812,0.5360927141466454,0.4263516274041243,0.61711246
110,0.7624244689941406,0.6480926825920791,0.3517357825154852,0.6864953
111,0.6947402954101562,0.5351210699098512,0.2800082059905086,0.4511744
112,0.937713623046875,0.8980265618356609,0.32983026663837867,0.89003915
113,0.8938369750976562,0.8207073729397664,0.38690208983256213,0.6995857
