,OverallAccuracy,Frequency_Weighted_Intersection_over_Union,MeanIntersectionOverUnion,MatthewsCorrelationCoefficient
0,0.9138069152832031,0.8431933051245212,0.6287669355725494,0.88908815
1,0.9309806823730469,0.87394748816194,0.6448993313547702,0.9099188
2,0.9312973022460938,0.8742876375711333,0.6454775036478663,0.9112999
3,0.8890419006347656,0.8055874012814019,0.538107635779055,0.8571458
4,0.8963165283203125,0.8168568849964406,0.551786983467172,0.8661242
5,0.921875,0.8595721552943252,0.6024446078527625,0.8948399
6,0.9334526062011719,0.8805291933570354,0.5801654119274486,0.9015671
7,0.9738121032714844,0.948913190215867,0.34244035645467,0.9129288
8,0.9438285827636719,0.8981331473455965,0.6009097323945081,0.9090193
9,0.9541511535644531,0.9194662229617432,0.5489074860048844,0.9261336
10,0.9759902954101562,0.9544178648505917,0.47453018617722,0.9629412
11,0.9702796936035156,0.9461975539496511,0.466588360861368,0.9545035
12,0.9728584289550781,0.9497126659012949,0.47322833679517484,0.95795536
13,0.966796875,0.9378928689800425,0.5155592388233875,0.94668084
14,0.9653434753417969,0.9390429356629679,0.4824143644513619,0.94394773
15,0.9226722717285156,0.8584789329962234,0.644398041541627,0.90566564
16,0.9141616821289062,0.8433706202432334,0.6366271546501472,0.8943527
17,0.9518547058105469,0.9091799212243438,0.6723301730431571,0.9387674
18,0.9807243347167969,0.9624379165017454,0.35180072596432066,0.9363713
19,0.9348831176757812,0.8787498961121211,0.6442985288669556,0.9131331
20,0.9362335205078125,0.8809136606400272,0.6205820266457303,0.909976
21,0.9354667663574219,0.8797089369917166,0.5604728515413493,0.90848243
22,0.9387397766113281,0.8852900406583831,0.5531947831793325,0.91445506
23,0.9414024353027344,0.8901302090031362,0.5422935832168867,0.91628176
24,0.9382247924804688,0.8843834380591973,0.5272196367701699,0.91551054
25,0.95684814453125,0.9180785293957966,0.5494513513236354,0.93780667
26,0.9605636596679688,0.9253493486630551,0.5293761375220819,0.93721354
